CountryName,ISO3,OIE_Region,OIE_Region_Use_Kg,Year,Source,Animal,Subtype,Tetracyclines_kg,Amphenicols_kg,Penicillins_kg,Cephalosporins_1_2_kg,Cephalosporins_3_4_kg,Sulfonamides_kg,Trimethoprim_Ortho_kg,Macrolides_kg,Lincosamides_kg,Aminoglycosides_kg,Fluoroquinolones_kg,Quinolones_kg,Pleuromutilins_kg,Polymixins_kg,Nitrofuran_derivatives_kg,Other_antibiotics_kg,All_antibiotics_kg,Discrepancies,Notes,lat,long,Reporting_countries,Number_of_countries
Australia,AUS,Asia_Fareast_Oceania,NA,2006,APVMA,Pigs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106100,NA,*Totals_for_Australia_do_not_include_coccidiostats,133,-25,NA,NA
Australia,AUS,Asia_Fareast_Oceania,NA,2006,APVMA,Chicken,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161100,NA,NA,133,-25,NA,NA
Australia,AUS,Asia_Fareast_Oceania,NA,2006,APVMA,Cattle+Sheep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51600,NA,NA,133,-25,NA,NA
Australia,AUS,Asia_Fareast_Oceania,NA,2006,APVMA,all,food_producing,44300,0,30720,20,0,8900,NA,80300,3200,7230,0,0,NA,NA,NA,144200,318870,NA,NA,133,-25,NA,NA
Australia,AUS,Asia_Fareast_Oceania,NA,2007,APVMA,Pigs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103100,NA,NA,133,-25,NA,NA
Australia,AUS,Asia_Fareast_Oceania,NA,2007,APVMA,Chicken,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120200,NA,NA,133,-25,NA,NA
Australia,AUS,Asia_Fareast_Oceania,NA,2007,APVMA,Cattle+Sheep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45200,NA,NA,133,-25,NA,NA
Australia,AUS,Asia_Fareast_Oceania,NA,2007,APVMA,all,food_producing,53300,0,33620,40,50,7700,NA,67400,3740,6290,0,0,NA,NA,NA,96600,268740,NA,NA,133,-25,NA,NA
Australia,AUS,Asia_Fareast_Oceania,NA,2008,APVMA,Pigs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101800,NA,NA,133,-25,NA,NA
Australia,AUS,Asia_Fareast_Oceania,NA,2008,APVMA,Chicken,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150400,NA,NA,133,-25,NA,NA
Australia,AUS,Asia_Fareast_Oceania,NA,2008,APVMA,Cattle+Sheep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48400,NA,NA,133,-25,NA,NA
Australia,AUS,Asia_Fareast_Oceania,NA,2008,APVMA,all,food_producing,65600,0,23460,60,120,8000,NA,60100,5440,5540,0,0,NA,NA,NA,132200,300520,NA,NA,133,-25,NA,NA
Australia,AUS,Asia_Fareast_Oceania,NA,2009,APVMA,Pigs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98000,NA,NA,133,-25,NA,NA
Australia,AUS,Asia_Fareast_Oceania,NA,2009,APVMA,Chicken,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80100,NA,NA,133,-25,NA,NA
Australia,AUS,Asia_Fareast_Oceania,NA,2009,APVMA,Cattle+Sheep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44700,NA,NA,133,-25,NA,NA
Australia,AUS,Asia_Fareast_Oceania,NA,2009,APVMA,all,food_producing,57000,0,14900,100,140,11700,NA,59600,2900,6300,0,0,NA,NA,NA,70300,222940,NA,NA,133,-25,NA,NA
Australia,AUS,Asia_Fareast_Oceania,NA,2010,APVMA,Pigs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104200,NA,NA,133,-25,NA,NA
Australia,AUS,Asia_Fareast_Oceania,NA,2010,APVMA,Chicken,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163100,NA,NA,133,-25,NA,NA
Australia,AUS,Asia_Fareast_Oceania,NA,2010,APVMA,Cattle+Sheep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49500,NA,NA,133,-25,NA,NA
Australia,AUS,Asia_Fareast_Oceania,NA,2010,APVMA,all,food_producing,58000,900,26370,170,130,13300,NA,64900,6430,5620,0,0,NA,NA,NA,141100,316920,Macrolides,NA,133,-25,NA,NA
Austria,AUT,Europe,NA,2010,European_Medicines_Agency,all,food_producing+_horses,37170,378,7560,44,315,6300,882,6300,315,1512,630,0,441,945,NA,378,63170,NA,NA,12.8,47.25,NA,NA
Austria,AUT,Europe,NA,2011,European_Medicines_Agency,all,food_producing+_horses,31588,318,5512,53,318,5565,742,4823,318,318,583,0,424,954,NA,1484,53000,NA,NA,12.8,47.25,NA,NA
Austria,AUT,Europe,NA,2012,European_Medicines_Agency,all,food_producing+_horses,29892,265,7897,53,318,5777,795,4399,318,1325,477,0,371,636,NA,424,52947,NA,NA,12.8,47.25,NA,NA
Austria,AUT,Europe,NA,2013,European_Medicines_Agency,all,food_producing+_horses,30741,328,8588,55,328,5415,711,4650,383,1258,547,0,383,875,NA,438,54700,NA,NA,12.8,47.25,NA,NA
Austria,AUT,Europe,8891000,2014,European_Medicines_Agency,all,food_producing+_horses,29690,320,8010,53,160,5874,801,4592,107,1175,481,0,427,1549,NA,160,53399,NA,NA,12.8,47.25,NA,NA
Austria,AUT,Europe,9013000,2015,European_Medicines_Agency,all,food_producing+_horses,26509,383,8135,48,191,4019,766,3924,383,1340,479,0,383,1531,NA,383,48474,NA,NA,12.8,47.25,NA,NA
Austria,AUT,Europe,NA,2016,European_Medicines_Agency,all,food_producing+_horses,24499,383,8039,38,191,3254,670,2967,287,1148,479,0,287,1531,NA,287,44060,NA,NA,12.8,47.25,NA,NA
Austria,AUT,Europe,NA,2017,European_Medicines_Agency,all,food_producing+_horses,24897,382,8204,48,191,3339,668,3052,95,1240,477,0,286,1622,NA,191,44692,NA,NA,12.8,47.25,NA,NA
Austria,AUT,Europe,NA,2018,European_Medicines_Agency,all,food_producing+_horses,26056,406,9125,41,203,4360,912,3447,101,507,0,1217,304,1825,NA,101,48605,NA,NA,12.8,47.25,NA,NA
Austria,AUT,Europe,NA,2019,European_Medicines_Agency,all,food_producing+_horses,20037,509,8747,31,203,3967,814,3051,102,509,0,1322,407,1526,NA,102,41327,NA,NA,12.8,47.25,NA,NA
Austria,AUT,Europe,NA,2020,European_Medicines_Agency,all,food_producing+_horses,22390,405,9422,41,203,3546,709,3546,101,507,0,1317,405,1520,NA,101,44213,NA,NA,12.8,47.25,NA,NA
Austria,AUT,Europe,NA,2020,AGES,Pig,food_producing,14640,80,4580,0,50,1310,260,1690,50,470,110,0,270,1030,NA,40,24580,NA,NA,12.8,47.25,NA,NA
Austria,AUT,Europe,NA,2020,AGES,Cattle,food_producing,3360,150,1400,30,80,710,140,90,20,490,70,0,0,10,NA,30,6580,NA,NA,12.8,47.25,NA,NA
Austria,AUT,Europe,NA,2020,AGES,Chicken,food_producing,320,10,800,0,0,140,30,500,10,30,70,0,10,310,NA,0,2230,NA,NA,12.8,47.25,NA,NA
Belgium,BEL,Europe,NA,2007,BelVet,all,food_producing+_horses,94542,1305,74445,909,NA,100501,16838,27952,NA,15795,NA,4489,NA,8789,NA,3290,348855,NA,NA,4.67,50.65,NA,NA
Belgium,BEL,Europe,NA,2008,BelVet,all,food_producing+_horses,83361,1563,67553,1086,NA,73858,14196,23665,NA,17485,NA,4402,NA,8949,NA,2871,298989,NA,NA,4.67,50.65,NA,NA
Belgium,BEL,Europe,NA,2009,BelVet,all,food_producing+_horses,73497,1668,73232,1668,NA,81368,14995,23390,NA,17121,NA,5022,NA,9907,NA,2388,304256,NA,NA,4.67,50.65,NA,NA
Belgium,BEL,Europe,NA,2010,BelVet,all,food_producing+_horses,73838,1383,80083,1370,NA,71624,14877,18786,NA,17382,NA,3978,NA,9880,NA,3647,296848,NA,NA,4.67,50.65,NA,NA
Belgium,BEL,Europe,NA,2010,European_Medicines_Agency,all,food_producing+_horses,74750,1495,80730,150,897,74750,14950,14950,4784,10166,1196,2691,3588,9867,NA,7475,302439,NA,NA,4.67,50.65,NA,NA
Belgium,BEL,Europe,NA,2011,BelVet,all,food_producing+_horses,72454,1354,87863,1490,NA,70692,14211,21843,NA,13167,NA,4089,NA,9103,NA,2771,299037,NA,NA,4.67,50.65,NA,NA
Belgium,BEL,Europe,NA,2011,European_Medicines_Agency,all,food_producing+_horses,72171,1485,87021,149,891,70686,14256,16038,5643,1485,1485,2673,2673,9207,NA,11583,297446,NA,NA,4.67,50.65,NA,NA
Belgium,BEL,Europe,NA,2012,BelVet,all,food_producing+_horses,63006,1436,82468,1530,NA,71812,14462,18192,NA,8314,NA,4217,NA,9636,NA,2578,277651,NA,NA,4.67,50.65,NA,NA
Belgium,BEL,Europe,NA,2012,European_Medicines_Agency,all,food_producing+_horses,60120,1336,76686,107,802,71610,14429,12291,5344,1603,1336,2672,2405,9619,NA,6680,267040,NA,NA,4.67,50.65,NA,NA
Belgium,BEL,Europe,NA,2013,BelVet,all,food_producing+_horses,62411,1513,80817,1540,NA,61987,12570,17504,NA,8090,NA,3315,NA,7876,NA,1827,259450,NA,NA,4.67,50.65,NA,NA
Belgium,BEL,Europe,NA,2013,European_Medicines_Agency,all,food_producing+_horses,62280,1557,82262,104,779,62021,12456,12975,4412,1298,1817,1557,1557,7785,NA,7007,259867,NA,NA,4.67,50.65,NA,NA
Belgium,BEL,Europe,NA,2014,BelVet,all,food_producing+_horses,61901,1616,82562,1604,NA,64434,12912,23319,NA,8983,NA,3492,NA,5659,NA,1263,267745,NA,NA,4.67,50.65,NA,NA
Belgium,BEL,Europe,8891000,2014,European_Medicines_Agency,all,food_producing+_horses,61642,1594,81836,266,797,64299,13019,18333,4783,1063,1860,1594,1063,5580,NA,7971,265700,NA,NA,4.67,50.65,NA,NA
Belgium,BEL,Europe,NA,2015,BelVet,all,food_producing+_horses,60092,2085,11547,790,733,60549,12352,22780,NA,9440,NA,4049,NA,4757,NA,1185,190359,NA,NA,4.67,50.65,NA,NA
Belgium,BEL,Europe,9013000,2015,European_Medicines_Agency,all,food_producing+_horses,59821,2063,79590,172,688,61712,12377,16846,5673,516,1719,2235,1031,4813,NA,8939,258195,NA,NA,4.67,50.65,NA,NA
Belgium,BEL,Europe,NA,2016,BelVet,all,food_producing+_horses,49900,3007,11656,899,514,53339,10906,19762,NA,9255,NA,1685,NA,4196,NA,1118,166237,NA,NA,4.67,50.65,NA,NA
Belgium,BEL,Europe,NA,2016,European_Medicines_Agency,all,food_producing+_horses,49735,3087,85922,343,515,54366,10976,14921,4631,858,1029,686,1029,4116,NA,8404,240618,NA,NA,4.67,50.65,NA,NA
Belgium,BEL,Europe,NA,2017,BelVet,all,food_producing+_horses,56757,3078,10825,834,175,35689,7391,18846,NA,9225,NA,599,NA,3615,NA,1005,148039,NA,NA,4.67,50.65,NA,NA
Belgium,BEL,Europe,NA,2017,European_Medicines_Agency,all,food_producing+_horses,56552,3030,83145,337,168,36860,7406,13633,5049,1010,337,168,842,3535,NA,8920,220992,NA,NA,4.67,50.65,NA,NA
Belgium,BEL,Europe,NA,2018,BelVet,all,food_producing+_horses,50009,3321,74889,782,143,30423,6093,NA,16957,8224,914,NA,NA,3526,NA,2186,197467,NA,NA,4.67,50.65,NA,NA
Belgium,BEL,Europe,NA,2018,BelVet,Pigs,NA,28400,1300,46300,10,NA,20800,NA,9300,NA,200,10,NA,NA,2900,NA,1400,110620,NA,NA,4.67,50.65,NA,NA
Belgium,BEL,Europe,NA,2018,BelVet,Chicken,NA,1800,10,10200,NA,NA,3700,NA,7000,NA,NA,390,NA,NA,100,NA,NA,23200,NA,NA,4.67,50.65,NA,NA
Belgium,BEL,Europe,NA,2018,European_Medicines_Agency,all,food_producing+_horses,50245,3330,74460,202,101,30672,6155,12410,4540,303,504,2825,1917,2522,NA,5448,195634,NA,NA,4.67,50.65,NA,NA
Belgium,BEL,Europe,NA,2019,BelVet,all,food_producing+_horses,37109,3160,8886,1046,135,28132,5632,16360,NA,9537,974,NA,NA,3034,NA,1642,115647,NA,NA,4.67,50.65,NA,NA
Belgium,BEL,Europe,NA,2019,European_Medicines_Agency,all,food_producing+_horses,37543,3238,70836,405,101,28436,5667,11030,5161,405,506,2631,1113,3137,NA,6982,177191,NA,NA,4.67,50.65,NA,NA
Belgium,BEL,Europe,NA,2020,BelVet,all,food_producing+_horses,35903,3253,8962,1286,142,29504,5903,18155,NA,9153,1362,NA,NA,2762,NA,948,117333,NA,NA,4.67,50.65,NA,NA
Belgium,BEL,Europe,NA,2020,European_Medicines_Agency,all,food_producing+_horses,36136,3239,75107,597,101,29354,5871,13361,4757,506,810,2834,607,2834,NA,6478,182592,NA,NA,4.67,50.65,NA,NA
Bulgaria,BGR,Europe,NA,2011,European_Medicines_Agency,all,food_producing+_horses,24318,462,3528,13,21,1008,84,4452,462,210,2016,168,1596,1260,NA,2352,41950,NA,NA,25.28,42.64,NA,NA
Bulgaria,BGR,Europe,NA,2012,European_Medicines_Agency,all,food_producing+_horses,17318,461,4262,38,12,998,77,6528,1152,1536,2381,115,1037,1459,NA,998,38372,NA,NA,25.28,42.64,NA,NA
Bulgaria,BGR,Europe,NA,2013,European_Medicines_Agency,all,food_producing+_horses,23250,930,6092,47,47,2651,279,5441,1023,1535,2697,47,1070,1070,NA,279,46458,NA,NA,25.28,42.64,NA,NA
Bulgaria,BGR,Europe,8891000,2014,European_Medicines_Agency,all,food_producing+_horses,14637,1141,4434,10,33,1923,261,5509,1597,978,717,0,1043,196,NA,196,32675,NA,NA,25.28,42.64,NA,NA
Bulgaria,BGR,Europe,9013000,2015,European_Medicines_Agency,all,food_producing+_horses,22876,1444,5890,11,76,3686,418,5168,456,1900,2014,152,570,1368,NA,304,46333,NA,NA,25.28,42.64,NA,NA
Bulgaria,BGR,Europe,NA,2016,European_Medicines_Agency,all,food_producing+_horses,28453,3026,14541,8,39,2830,472,4873,1651,1061,1926,157,904,904,NA,236,61081,NA,NA,25.28,42.64,NA,NA
Bulgaria,BGR,Europe,NA,2017,European_Medicines_Agency,all,food_producing+_horses,17086,3035,9255,7,37,2960,412,7157,2660,2286,2136,187,824,1124,NA,412,49578,NA,NA,25.28,42.64,NA,NA
Bulgaria,BGR,Europe,NA,2018,European_Medicines_Agency,all,food_producing+_horses,16654,2007,8829,10,40,3411,401,7123,2408,2408,0,2107,903,1505,NA,401,48207,NA,NA,25.28,42.64,NA,NA
Bulgaria,BGR,Europe,NA,2019,European_Medicines_Agency,all,food_producing+_horses,14849,1706,8528,10,40,3211,301,6522,3010,1605,0,1605,1204,602,NA,301,43494,NA,NA,25.28,42.64,NA,NA
Bulgaria,BGR,Europe,NA,2020,European_Medicines_Agency,all,food_producing+_horses,17753,292,5991,7,29,1826,219,11981,2046,950,0,1169,804,1461,NA,146,44674,NA,NA,25.28,42.64,NA,NA
Cameroon,CMR,Africa,NA,2014,Mouchi_et_al_2020,All,food_producing,7800,150,1920,0,NA,5530,NA,1670,NA,1500,NA,5360,NA,560,60,0,24550,NA,imports as proxy for usage,69.3,30.4,NA,NA
Cameroon,CMR,Africa,NA,2015,Mouchi_et_al_2020,All,food_producing,12600,0,3520,0,NA,11580,NA,1160,NA,2400,NA,4310,NA,2140,720,0,38430,NA,imports as proxy for usage,12.3,7.4,NA,NA
Cameroon,CMR,Africa,NA,2016,Mouchi_et_al_2020,All,food_producing,7920,30,2010,0,NA,9380,NA,490,NA,660,NA,4290,NA,1060,0,0,25840,NA,imports as proxy for usage,12.3,7.4,NA,NA
Cameroon,CMR,Africa,NA,2017,Mouchi_et_al_2020,All,food_producing,16890,50,5850,0,NA,9530,NA,3540,NA,4000,NA,2830,NA,1020,510,0,44220,NA,imports as proxy for usage,12.3,7.4,NA,NA
Cameroon,CMR,Africa,NA,2018,Mouchi_et_al_2020,All,food_producing,10010,150,3000,0,NA,11340,NA,1290,NA,1310,NA,4020,NA,2600,630,0,34350,NA,imports as proxy for usage,12.3,7.4,NA,NA
