CountryName,ISO3,OIE_Region,OIE_Region_Use_Kg,Year,Source,Animal,Subtype,Tetracyclines_kg,Amphenicols_kg,Penicillins_kg,Cephalosporins_1_2_kg,Cephalosporins_3_4_kg,Sulfonamides_kg,Trimethoprim_Ortho_kg,Macrolides_kg,Lincosamides_kg,Aminoglycosides_kg,Fluoroquinolones_kg,Quinolones_kg,Pleuromutilins_kg,Polymixins_kg,Nitrofuran_derivatives_kg,Other_antibiotics_kg,All_antibiotics_kg,Discrepancies,Notes,lat,long,Reporting_countries,Number_of_countries
USA,USA,Americas,NA,2016,FDA,Cattle,food_producing_(domestic),2845919,NA,99935,24677,NA,234955,NA,194811,NA,161646,NA,NA,NA,NA,NA,NA,3561943,NA,"exclude:_Aminocoumarins,_Glycolipids,_Orthosomycins,_Pleuromutilins,_Polypeptides,_and_Quinoxalines",-100,34,NA,NA
USA,USA,Americas,NA,2016,FDA,Chicken,food_producing_(domestic),285513,NA,NA,NA,NA,21115,NA,20718,8874,24111,NA,NA,NA,NA,NA,148469,508800,NA,NA,-100,34,NA,NA
USA,USA,Americas,NA,2016,FDA,turkey,food_producing_(domestic),156617,NA,529083,NA,NA,41127,NA,1176,NA,22198,NA,NA,NA,NA,NA,NA,750201,NA,NA,-100,34,NA,NA
USA,USA,Americas,NA,2016,FDA,Pigs,food_producing_(domestic),2520680,NA,17958,NA,NA,40215,NA,337295,118916,65850,NA,NA,NA,NA,NA,NA,3100914,NA,NA,-100,34,NA,NA
USA,USA,Americas,NA,2016,FDA,all,nonfood_producing_and_minorfood_producing_and_unknown_uses,57859,NA,195888,NA,NA,32414,NA,714,NA,45204,NA,NA,NA,NA,NA,216771,548850,NA,NA,-100,34,NA,NA
USA,USA,Americas,NA,2016,FDA,all,all_(domestic),5866588,NA,842863,31010,NA,369826,NA,554714,142458,319009,18502,NA,NA,NA,NA,1235076,9380046,NA,"other_antibiotics_include:_Aminocoumarins,_Amphenicols,_Diaminopyrimidines,_Glycolipids,_Orthosomycins,_Pleuromutilins,_Polymyxins,_Polypeptides,_Quinoxalines,_Streptogramins",-100,34,NA,NA
USA,USA,Americas,NA,2017,FDA,Cattle,food_producing_(domestic),1560542,NA,96936,23512,NA,196902,NA,274479,NA,124675,NA,NA,NA,NA,NA,NA,2277046,NA,"exclude:_Aminocoumarins,_Glycolipids,_Orthosomycins,_Pleuromutilins,_Polypeptides,_and_Quinoxalines",-100,34,NA,NA
USA,USA,Americas,NA,2017,FDA,Chicken,food_producing_(domestic),153621,NA,NA,NA,NA,7319,NA,2614,8213,20185,NA,NA,NA,NA,NA,76095,268047,NA,NA,-100,34,NA,NA
USA,USA,Americas,NA,2017,FDA,turkey,food_producing_(domestic),192976,NA,423689,NA,NA,28817,NA,1307,NA,24042,NA,NA,NA,NA,NA,NA,670831,NA,NA,-100,34,NA,NA
USA,USA,Americas,NA,2017,FDA,Pigs,food_producing_(domestic),1579145,NA,NA,NA,NA,31024,NA,189503,128642,63602,NA,NA,NA,NA,NA,NA,1991916,NA,NA,-100,34,NA,NA
USA,USA,Americas,NA,2017,FDA,all,nonfood_producing_and_minorfood_producing_and_unknown_uses,49416,NA,NA,NA,NA,10050,NA,891,NA,26680,NA,NA,NA,NA,NA,176527,263564,NA,NA,-100,34,NA,NA
USA,USA,Americas,NA,2017,FDA,all,all_(domestic),3535701,49321,690889,29369,NA,274112,NA,468794,152497,259184,22904,NA,NA,NA,NA,1055746,6538517,NA,"other_antibiotics_include:_Aminocoumarins,_Amphenicols,_Diaminopyrimidines,_Glycolipids,_Orthosomycins,_Pleuromutilins,_Polymyxins,_Polypeptides,_Quinoxalines,_Streptogramins",-100,34,NA,NA
USA,USA,Americas,NA,2018,FDA,Cattle,food_producing_(domestic),1732416,NA,96591,25337,NA,187603,NA,274837,NA,137614,NA,NA,NA,NA,NA,NA,2454398,NA,"exclude:_Aminocoumarins,_Glycolipids,_Orthosomycins,_Pleuromutilins,_Polypeptides,_and_Quinoxalines",-100,34,NA,NA
USA,USA,Americas,NA,2018,FDA,Chicken,food_producing_(domestic),140561,NA,NA,NA,NA,NA,NA,2971,8780,13430,NA,NA,NA,NA,NA,56032,221774,NA,NA,-100,34,NA,NA
USA,USA,Americas,NA,2018,FDA,turkey,food_producing_(domestic),150749,NA,463939,NA,NA,30446,NA,1653,NA,24321,NA,NA,NA,NA,NA,NA,671108,NA,NA,-100,34,NA,NA
USA,USA,Americas,NA,2018,FDA,Pigs,food_producing_(domestic),1902950,NA,NA,NA,NA,45581,NA,192175,104527,90779,NA,NA,NA,NA,NA,NA,2336012,NA,NA,-100,34,NA,NA
USA,USA,Americas,NA,2018,FDA,all,nonfood_producing_and_minorfood_producing_and_unknown_uses,47502,NA,NA,NA,NA,NA,NA,1403,NA,27154,NA,NA,NA,NA,NA,171694,247753,NA,NA,-100,34,NA,NA
USA,USA,Americas,NA,2018,FDA,all,all_(domestic),3974179,56056,731863,31448,NA,278562,NA,473038,125514,293298,23350,NA,NA,NA,NA,1017356,7004664,NA,"other_antibiotics_include:_Aminocoumarins,_Amphenicols,_Diaminopyrimidines,_Glycolipids,_Orthosomycins,_Pleuromutilins,_Polymyxins,_Polypeptides,_Quinoxalines,_Streptogramins",-100,34,NA,NA
USA,USA,Americas,NA,2019,FDA,Cattle,food_producing_(domestic),1741883,NA,78887,24158,NA,197486,NA,286438,NA,139445,12560,NA,NA,NA,NA,NA,2480857,NA,NA,-100,34,NA,NA
USA,USA,Americas,NA,2019,FDA,Chicken,food_producing_(domestic),149295,NA,NA,NA,NA,5903,NA,2760,6409,16200,NA,NA,NA,NA,NA,NA,180567,NA,NA,-100,34,NA,NA
