,Country,Total,Tetracyclines_kg,Amphenicols_kg,Penicillins_kg,Cephalosporins_1_2_kg,Cephalosporins_3_4_kg,Sulfonamides_kg,Macrolides_kg,Lincosamides_kg,Aminoglycosides_kg,Quinolones_kg,Pleuromutilins_kg,Polymixins_kg,Other_antibiotics_kg
1,Afghanistan,123.796368619509 (+-19%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%)
2,Albania,14.5956257835759 (+-14%),4 (+NA%),1 (+NA%),4 (+NA%),0 (+NA%),0 (+NA%),1 (+NA%),1 (+NA%),1 (+NA%),1 (+NA%),0 (+NA%),0 (+NA%),0 (+NA%),0 (+NA%)
3,Algeria,101.360516956968 (+-75%),27 (+NA%),3 (+NA%),27 (+NA%),0 (+NA%),1 (+NA%),14 (+NA%),10 (+NA%),1 (+NA%),4 (+NA%),7 (+NA%),3 (+NA%),2 (+NA%),3 (+NA%)
4,American Samoa,0 (+NaN%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%)
5,Andorra,0 (+NaN%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%)
6,Angola,46.9550592634044 (+44%),29 (+NA%),1 (+NA%),4 (+NA%),0 (+NA%),0 (+NA%),3 (+NA%),2 (+NA%),0 (+NA%),1 (+NA%),2 (+NA%),0 (+NA%),1 (+NA%),4 (+NA%)
7,Anguilla,0 (+NaN%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%)
8,Antigua and Barbuda,0.198193446451826 (+5%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%)
9,Argentina,1753.24759952799 (+6%),732 (+NA%),73 (+NA%),191 (+NA%),5 (+NA%),1 (+NA%),78 (+NA%),139 (+NA%),40 (+NA%),77 (+NA%),49 (+NA%),17 (+NA%),139 (+NA%),210 (+NA%)
10,Armenia,21.6587357074203 (+7%),7 (+NA%),1 (+NA%),6 (+NA%),0 (+NA%),0 (+NA%),2 (+NA%),1 (+NA%),1 (+NA%),2 (+NA%),0 (+NA%),0 (+NA%),0 (+NA%),0 (+NA%)
11,Aruba,0 (+NaN%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%)
12,Australia,2225.63254917279 (+-12%),1334 (+NA%),27 (+NA%),327 (+NA%),5 (+NA%),5 (+NA%),64 (+NA%),226 (+NA%),5 (+NA%),35 (+NA%),18 (+NA%),12 (+NA%),7 (+NA%),160 (+NA%)
13,Austria,43.9131641420927 (+-4%),22 (+NA%),0 (+NA%),9 (+NA%),0 (+NA%),0 (+NA%),4 (+NA%),4 (+NA%),0 (+NA%),1 (+NA%),1 (+NA%),0 (+NA%),2 (+NA%),0 (+NA%)
14,Azerbaijan,75.1347438391667 (+-19%),16 (+NA%),4 (+NA%),24 (+NA%),1 (+NA%),0 (+NA%),9 (+NA%),6 (+NA%),2 (+NA%),8 (+NA%),3 (+NA%),0 (+NA%),1 (+NA%),0 (+NA%)
15,"Bahamas, The",1.09689331796761 (+1%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%)
16,Bahrain,0.74527949011795 (+65%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%)
17,Bangladesh,367.218366054021 (+5%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%)
18,Barbados,3.55937353857687 (+2%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%)
19,Belarus,275.944991182008 (+8%),95 (+NA%),9 (+NA%),69 (+NA%),2 (+NA%),0 (+NA%),24 (+NA%),20 (+NA%),14 (+NA%),26 (+NA%),5 (+NA%),3 (+NA%),8 (+NA%),1 (+NA%)
20,Belgium,182.854548977296 (+-1%),36 (+NA%),3 (+NA%),75 (+NA%),1 (+NA%),0 (+NA%),35 (+NA%),13 (+NA%),5 (+NA%),1 (+NA%),4 (+NA%),1 (+NA%),3 (+NA%),6 (+NA%)
21,Belize,4.50045168750242 (+17%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%)
22,Benin,21.8560595691012 (+21%),14 (+NA%),0 (+NA%),2 (+NA%),0 (+NA%),0 (+NA%),2 (+NA%),1 (+NA%),0 (+NA%),1 (+NA%),1 (+NA%),0 (+NA%),0 (+NA%),1 (+NA%)
23,Bermuda,0 (+NaN%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%)
24,Bhutan,6.44913199874946 (+31%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%),NA (+NA%)
25,Bolivia,326.626074337509 (+20%),114 (+NA%),12 (+NA%),40 (+NA%),1 (+NA%),0 (+NA%),18 (+NA%),33 (+NA%),9 (+NA%),14 (+NA%),11 (+NA%),3 (+NA%),34 (+NA%),36 (+NA%)
26,Bosnia and Herzegovina,28.7900527054448 (+7%),9 (+NA%),1 (+NA%),8 (+NA%),0 (+NA%),0 (+NA%),3 (+NA%),2 (+NA%),1 (+NA%),3 (+NA%),1 (+NA%),0 (+NA%),1 (+NA%),0 (+NA%)
27,Botswana,7.03263131972634 (+16%),4 (+NA%),0 (+NA%),1 (+NA%),0 (+NA%),0 (+NA%),1 (+NA%),0 (+NA%),0 (+NA%),0 (+NA%),0 (+NA%),0 (+NA%),0 (+NA%),0 (+NA%)
28,Brazil,9682.94903169443 (+13%),4233 (+NA%),368 (+NA%),978 (+NA%),26 (+NA%),5 (+NA%),405 (+NA%),761 (+NA%),221 (+NA%),398 (+NA%),256 (+NA%),92 (+NA%),811 (+NA%),1129 (+NA%)
